description;mission_id;difficulty
"Sobre as invasões dos ""bárbaros"" na Europa Ocidental, ocorridas entre os séculos III e IX, é correto afirmar que:";1;1
:Dos Séculos III a I a.C., através de guerras de conquista, os patrícios romanos estenderam a sua dominação sobre quase todos os povos do Mediterrâneo. Mas essa vitória externa de Roma contribuiu para transformar a sua própria ordem social interna. Como uma das mais importantes transformações, podemos citar:;1;1
Dentre os itens a seguir, dois representam características integrantes do ideário cristão que, à época do reconhecimento do Cristianismo como religião oficial de Roma (sec. IV), funcionaram como elementos facilitadores da aliança que uniu os interesses da Igreja Cristã aos do Estado Romano:\n 1. o dogma da transcendência divina.\n 2. as noções de culpa original dos homens e de perdão divino.\n 3. os dogmas da criação e do juízo final.\n 4. o missionarismo expansionista.\n 5. a moral celibatária.\n 6. as concepções de inferno, purgatório e reino dos céus.\n 7. a estrutura hierárquica da organização clerical.\n Os itens corretos são os de número:;1;1
A expansão de Roma durante a República, com o consequente domínio da bacia do Mediterrâneo, provocou sensíveis transformações sociais e econômicas, dentre as quais:;1;2
"""O vínculo entre os legionários e o comandante começou progressivamente a assimilar-se ao existente entre patrão e cliente na vida civil: a partir da época de Mário e Sila, os soldados procuravam os seus generais para a reabilitação econômica e os generais usavam os soldados para incursões políticas."" (Perry Anderson, ""PASSAGEM DA ANTIGÜIDADE AO FEUDALISMO"".) O texto oferece subsídios para a compreensão:";1;2
Importantes transformações políticas, econômicas e sociais ocorreram com a expansão romana pelo Mediterrâneo, entre elas:;1;2
Várias razões explicam as perseguições sofridas pelos cristãos no Império Romano, entre elas:;1;3
"""Usamos a riqueza mais como uma oportunidade para agir que como um motivo de vanglória; entre nós não há vergonha na pobreza, mas a maior vergonha é não fazer o possível para evitá-la... olhamos o homem alheio às atividades públicas não como alguém que cuida apenas de seus próprios interesses, mas como um inútil... decidimos as questões públicas por nós mesmos, ou pelo menos nos esforçamos por compreendê-las claramente, na crença de que não é o debate que é o empecilho à ação, e sim o fato de não se estar esclarecido pelo debate antes de chegar a hora da ação"". Esta passagem de um discurso de Péricles, reproduzido por Tucídides, expressa:";2;2
Com o advento da democracia na pólis grega durante o período clássico, foram:;2;2
A civilização grega atingiu extraordinário desenvolvimento. Os ideais gregos de liberdade e a crença na capacidade criadora do homem têm permanente significado. Acerca do imenso e diversificado legado cultural grego, é correto afirmar que:;2;3
Os Estados Teocráticos da Mesopotâmia e do Egito evoluíram acumulando características comuns e peculiaridades culturais. Os Egípcios desenvolveram a prática de embalsamar o corpo humano porque:;3;3
Os clamores da revolta e da destruição de Nínive, registrados na Bíblia, devem-se:;3;3
Entre os povos do oriente médio, os hebreus foram os que mais influenciaram a cultura da civilização ocidental, uma vez que o cristianismo é considerado como uma continuação das tradições religiosas hebraicas. A partir do texto anterior, assinale a alternativa incorreta:;3;4
""" ... essencialmente mercadores, exportavam pescado, vinhos, ouro e prata, armas, praticavam a pirataria, e desenvolviam um intenso comércio de escravos no Mediterrâneo..."" O texto refere-se a características que identificam, na Antiguidade Oriental, os";3;4
No Século XIII, os barões ingleses, contando com o apoio de alguns mercadores e religiosos, sublevaram-se contra as pesadas taxas e outros abusos. O rei João Sem Terra acabou aceitando as exigências dos vassalos sublevados e assinou a Magna Carta. Pode-se afirmar que o documento apresenta importante legado do Mundo Medieval porque;4;1
As cidades medievais:;4;1
A proliferação das universidades medievais, no século XIII, responsável por importantes transformações culturais, está relacionada:;4;1
"""A própria vocação do nobre lhe proibia qualquer atividade econômica direta. Ele pertencia de corpo e alma à sua função própria: a do guerreiro. (...) um corpo ágil e musculoso não é o bastante para fazer o cavaleiro ideal. É preciso ainda acrescentar a coragem. E é também porque proporciona a esta virtude a ocasião de se manifestar que a guerra põe tanta alegria no coração do homens, para os quais a audácia e o desprezo da morte são, de algum modo, valores profissionais."" Bloch, Marc. A SOCIEDADE FEUDAL. Lisboa, Edições 70, 1987. O autor nos fala da condição social dos nobres medievais e dos valores ligados às suas ações guerreiras. É possível dizer que a atuação guerreira desses cavaleiros representa, respectivamente, para a sociedade e para eles próprios:";4;2
"""O Feudalismo medieval nasceu no seio de uma época infinitamente perturbada. Em certa medida, ele nasceu dessas mesmas perturbações. Ora, entre as causas que contribuíram para criar ou manter um ambiente tão tumultuado, algumas existiram completamente estranhas à evolução interior das sociedades européias."" (Marc Bloch, A SOCIEDADE FEUDAL) O texto refere-se:";5;2
Os árabes, entre os Séculos VII e XI, ampliaram suas conquistas e forjaram importante civilização. Sob a ação catalisadora do Islã, foi mantida a unidade política, enquanto que o comércio destacou-se como elo do relacionamento tolerante com muitos povos. Além disso, argumenta-se que os valores culturais da Antigüidade Clássica chegaram ao conhecimento do Mundo Moderno Ocidental porque os árabes:;5;2
A Civilização Bizantina floresceu na Idade Média, deixando em muitas regiões da Ásia e da Europa testemunhos de sua irradiação cultural. Assinale importante e preponderante contribuição artística bizantina que se difundiu expressando forte destinação religiosa:;5;2
"""Na sociedade feudal, o vínculo humano característico foi o elo entre subordinado e o chefe mais próximo. De escalão em escalão os nós assim formados uniam, tal como se tratasse de cadeias infinitamente ramificadas, os mais pequenos aos maiores. A própria terra só parecia ser uma riqueza tão preciosa por permitir obter homens remunerando-os."" (Marc Bloch, ""A SOCIEDADE FEUDAL"") O texto descreve a:";5;3
O sistema feudal caracterizava-se:;5;3
